anio,sexo,cantidad_personas,grupo_edad,lugar_residencia
2014,v,6729,40 - 49,Otros fuera de CABA
2014,v,6525,50 - 59,Otros fuera de CABA
2014,v,5198,60 - 69,Otros fuera de CABA
2014,v,2291,70 - 79,Otros fuera de CABA
2014,v,627,80 - 89,Otros fuera de CABA
2014,v,40,90 y más,Otros fuera de CABA
2014,v,23,Ignorado,Otros fuera de CABA
2014,v,55,0 - 9,Ignorado
2014,v,272,10 - 19,Ignorado
2014,v,960,20 - 29,Ignorado
2014,v,1278,30 - 39,Ignorado
2014,v,1933,40 - 49,Ignorado
2014,v,2098,50 - 59,Ignorado
2014,v,2225,60 - 69,Ignorado
2014,v,1532,70 - 79,Ignorado
2014,v,721,80 - 89,Ignorado
2014,v,128,90 y más,Ignorado
2014,v,17,Ignorado,Ignorado
2015,m,677,0 - 9,Ciudad de Buenos Aires
2015,m,3282,10 - 19,Ciudad de Buenos Aires
2015,m,9856,20 - 29,Ciudad de Buenos Aires
2015,m,9481,30 - 39,Ciudad de Buenos Aires
2015,m,9760,40 - 49,Ciudad de Buenos Aires
2015,m,11061,50 - 59,Ciudad de Buenos Aires
2015,m,10775,60 - 69,Ciudad de Buenos Aires
2015,m,7743,70 - 79,Ciudad de Buenos Aires
2015,m,3300,80 - 89,Ciudad de Buenos Aires
2015,m,366,90 y más,Ciudad de Buenos Aires
2015,m,5,Ignorado,Ciudad de Buenos Aires
2015,m,396,0 - 9,Otros fuera de CABA
2015,m,3320,10 - 19,Otros fuera de CABA
2015,m,9231,20 - 29,Otros fuera de CABA
2015,m,8780,30 - 39,Otros fuera de CABA
2015,m,9679,40 - 49,Otros fuera de CABA
2015,m,9589,50 - 59,Otros fuera de CABA
2015,m,6800,60 - 69,Otros fuera de CABA
2015,m,2937,70 - 79,Otros fuera de CABA
2015,m,753,80 - 89,Otros fuera de CABA
2015,m,65,90 y más,Otros fuera de CABA
2015,m,1,Ignorado,Otros fuera de CABA
2015,m,8,0 - 9,Ignorado
2015,m,169,10 - 19,Ignorado
2015,m,520,20 - 29,Ignorado
2015,m,606,30 - 39,Ignorado
2015,m,799,40 - 49,Ignorado
2015,m,799,50 - 59,Ignorado
2015,m,904,60 - 69,Ignorado
2015,m,759,70 - 79,Ignorado
2015,m,297,80 - 89,Ignorado
2015,m,100,90 y más,Ignorado
2015,m,2,Ignorado,Ignorado
2015,v,644,0 - 9,Ciudad de Buenos Aires
2015,v,1976,10 - 19,Ciudad de Buenos Aires
2015,v,6382,20 - 29,Ciudad de Buenos Aires
2015,v,7192,30 - 39,Ciudad de Buenos Aires
2015,v,8062,40 - 49,Ciudad de Buenos Aires
2015,v,9001,50 - 59,Ciudad de Buenos Aires
2015,v,8630,60 - 69,Ciudad de Buenos Aires
2015,v,6045,70 - 79,Ciudad de Buenos Aires
2015,v,2422,80 - 89,Ciudad de Buenos Aires
2015,v,235,90 y más,Ciudad de Buenos Aires
2015,v,2,Ignorado,Ciudad de Buenos Aires
2015,v,321,0 - 9,Otros fuera de CABA
2015,v,1659,10 - 19,Otros fuera de CABA
2015,v,6020,20 - 29,Otros fuera de CABA
2015,v,6476,30 - 39,Otros fuera de CABA
2015,v,7342,40 - 49,Otros fuera de CABA
2015,v,7280,50 - 59,Otros fuera de CABA
2015,v,5991,60 - 69,Otros fuera de CABA
2015,v,2519,70 - 79,Otros fuera de CABA
2015,v,653,80 - 89,Otros fuera de CABA
2015,v,55,90 y más,Otros fuera de CABA
2015,v,1,Ignorado,Otros fuera de CABA
2015,v,11,0 - 9,Ignorado
2015,v,79,10 - 19,Ignorado
2015,v,333,20 - 29,Ignorado
